Age_final,Body_found,Deck Name,Destination,Gender,Lifeboat,Number of parents/children aboard,Number of siblings/spouses aboard,Passenger class,Point of embarkation,Survived
26,Not found,Shelter Deck,"New York, NY",Male,5,0,0,1,Cherbourg,1
69,Not found,Shelter Deck,"New York, NY",Male,Not boarded,0,1,2,Cherbourg,0
45,Not found,Shelter Deck,"New York, NY",Male,Not boarded,0,1,1,Southampton,0
35,Not found,Shelter Deck,"New York, NY /  Stamford CT",Female,D,0,1,1,Southampton,1
38,Not found,Shelter Deck,"New York, NY /  Stamford CT",Male,D,0,1,1,Southampton,1
55,Not found,Shelter Deck,"New York, NY / Briarcliff Manor NY",Female,8,0,0,1,Cherbourg,1
40,Not found,Shelter Deck,"New York, NY / Greenwich CT",Female,3,0,0,1,Southampton,1
36,Not found,Shelter Deck,"New York, NY / Washington, DC",Female,8,0,0,1,Cherbourg,1
43,Not found,Shelter Deck,"Newark, NJ",Female,5,0,1,1,Cherbourg,1
54,Not found,Shelter Deck,"Newark, NJ",Male,1,0,1,1,Cherbourg,1
29.87093690248566,Not found,Shelter Deck,"Paris, France",Male,7,0,0,1,Cherbourg,1
29.87093690248566,Not found,Shelter Deck,"Paris, France / New York, NY",Female,5,0,1,1,Cherbourg,1
49,Not found,Shelter Deck,"Paris, France / New York, NY",Male,5,0,1,1,Cherbourg,1
50,Not found,Shelter Deck,"Paris, France New York, NY",Female,Not boarded,0,0,1,Cherbourg,0
29.87093690248566,Not found,Shelter Deck,"Portland, OR",Male,Not boarded,0,0,1,Southampton,0
35,Not found,Shelter Deck,"Scituate, MA",Female,D,0,1,1,Southampton,1
37,Not found,Shelter Deck,"Scituate, MA",Male,Not boarded,0,1,1,Southampton,0
28,Not found,Shelter Deck,"Stockholm, Sweden / Washington, DC",Male,D,0,0,1,Southampton,1
52,Not found,Shelter Deck,"Toronto, ON",Male,6,0,0,1,Southampton,1
35,Not found,Shelter Deck,Unknown,Female,4,0,0,1,Cherbourg,1
39,Not found,Shelter Deck,Unknown,Female,8,0,0,1,Cherbourg,1
64,Not found,Shelter Deck,Unknown,Female,8,0,0,2,Southampton,2
29.87093690248566,Not found,Shelter Deck,Unknown,Male,Not boarded,0,0,1,Southampton,0
53,Not found,Shelter Deck,"Washington, DC",Male,B,0,0,1,Cherbourg,1
62,Not found,Shelter Deck,"Wimbledon Park, London / Hayling Island, Hants",Male,Not boarded,0,0,1,Southampton,0
135,Not found,Shelter Deck,"Winnipeg, MB",Female,10,10,10,4,Southampton,4
83,Not found,Shelter Deck,"Winnipeg, MB",Male,Not boarded,6,4,2,Southampton,0
36,Not found,Shelter Deck,"Winnipeg, MN",Male,A,0,0,1,Cherbourg,0
61,Not found,Shelter Deck,"Youngstown, OH",Female,8,2,0,2,Southampton,2
52,Not found,Unknown,"Aberdeen / Portland, OR",Female,9,0,0,4,Southampton,2
18,Not found,Unknown,"Altdorf, Switzerland",Female,Not boarded,0,1,3,Southampton,0
25,Not found,Unknown,"Altdorf, Switzerland",Male,Not boarded,0,1,3,Southampton,0
22,Not found,Unknown,"Antwerp, Belgium / Stanton, OH",Male,Not boarded,0,0,3,Southampton,0
49,Not found,Unknown,"Ascot, Berkshire / Rochester, NY",Male,Not boarded,0,0,1,Southampton,0
45,Not found,Unknown,"Australia Fingal, ND",Male,15,0,0,3,Southampton,1
100,Not found,Unknown,Austria,Male,Not boarded,0,0,12,Southampton,0
17,Not found,Unknown,Austria-Hungary,Male,Not boarded,0,0,3,Southampton,0
22,Not found,Unknown,"Bangkok, Thailand / Roseville, IL",Female,13,1,1,2,Southampton,1
27,Not found,Unknown,"Bangkok, Thailand / Roseville, IL",Male,13,3,1,4,Southampton,2
57,Not found,Unknown,"Barcelona, Spain / Havana, Cuba",Female,12,0,2,4,Cherbourg,2
40,Not found,Unknown,"Barre, Co Washington, VT",Male,Not boarded,0,0,2,Southampton,0
209.0965583173996,Not found,Unknown,Belfast,Male,Not boarded,0,0,13,Southampton,0
30,Not found,Unknown,"Belgium Detroit, MI",Male,11,0,0,3,Southampton,1
17,Not found,Unknown,"Berne, Switzerland / Central City, IA",Female,12,0,0,2,Cherbourg,1
39,Not found,Unknown,"Bishopstoke, Hants / Fayette Valley, ID",Female,14,3,1,4,Southampton,2
31,Not found,Unknown,"Bishopstoke, Hants / Fayette Valley, ID",Male,Not boarded,1,1,2,Southampton,0
17,Not found,Unknown,"Bournemouth, England Newark, NJ",Female,12,1,0,3,Southampton,1
44,Not found,Unknown,"Bournemouth, England Newark, NJ",Male,Not boarded,1,0,3,Southampton,0
39,Not found,Unknown,"Bournmouth, England",Female,10,6,3,6,Southampton,3
36,Not found,Unknown,"Bournmouth, England",Male,Not boarded,2,1,2,Southampton,0
21,Not found,Unknown,"Brennes, Norway New York",Male,Not boarded,0,0,3,Southampton,0
51,Not found,Unknown,"Bridgerule, Devon",Male,Not boarded,0,2,6,Southampton,0
29.87093690248566,Not found,Unknown,"Bridgwater, Somerset, England",Male,Not boarded,0,0,3,Southampton,0
36,Not found,Unknown,"Brighton, Sussex",Male,Not boarded,0,0,2,Southampton,0
31,Not found,Unknown,"Bristol, England / New Britain, CT",Female,10,0,0,2,Southampton,1
30,Not found,Unknown,"Bristol, England / New Britain, CT",Male,Not boarded,0,1,2,Southampton,0
19,Not found,Unknown,"Bristol, England Cleveland, OH",Male,Not boarded,0,0,3,Southampton,0
29,Not found,Unknown,"Bromsgrove, England / Montreal, PQ",Female,10,0,1,2,Southampton,1
34,Not found,Unknown,"Brooklyn, NY",Female,12,0,0,2,Southampton,1
35,Not found,Unknown,"Broomfield, Chelmsford, England",Male,Not boarded,0,0,3,Southampton,0
30,Not found,Unknown,"Bryn Mawr, PA, USA",Male,Not boarded,0,0,2,Southampton,0
18,Not found,Unknown,"Buenos Aires, Argentina / New Jersey, NJ",Male,Not boarded,0,0,2,Southampton,0
140,Not found,Unknown,"Bulgaria Chicago, IL",Male,Not boarded,0,0,15,Southampton,0
29.87093690248566,Not found,Unknown,"Bulgaria Coon Rapids, IA",Male,Not boarded,0,0,3,Southampton,0
